"timestep","pft","num_agents"
802,"diatom",18.5
803,"diatom",18.65
804,"diatom",18.6
805,"diatom",18.55
806,"diatom",18.3
807,"diatom",18.4
808,"diatom",18.65
809,"diatom",18.65
810,"diatom",18.6
811,"diatom",18.4
812,"diatom",18.35
813,"diatom",18.5
814,"diatom",18.45
815,"diatom",18.3
816,"diatom",18.05
817,"diatom",17.95
818,"diatom",17.7
819,"diatom",17.9
820,"diatom",17.9
821,"diatom",17.95
822,"diatom",17.8
823,"diatom",17.85
824,"diatom",17.85
825,"diatom",17.65
826,"diatom",17.85
827,"diatom",17.5
828,"diatom",17.65
829,"diatom",17.6
830,"diatom",17.25
831,"diatom",17.3
832,"diatom",16.85
833,"diatom",17
834,"diatom",17.25
835,"diatom",16.9
836,"diatom",16.55
837,"diatom",16.65
838,"diatom",16.55
839,"diatom",16.65
840,"diatom",16.7
841,"diatom",16.65
842,"diatom",16.5
843,"diatom",16.45
844,"diatom",16.5
845,"diatom",16.35
846,"diatom",16.55
847,"diatom",16.45
848,"diatom",16.45
849,"diatom",16.2
850,"diatom",16.25
851,"diatom",16.2
852,"diatom",15.85
853,"diatom",15.9
854,"diatom",15.85
855,"diatom",15.7
856,"diatom",15.95
857,"diatom",16.05
858,"diatom",16
859,"diatom",15.9
860,"diatom",15.55
861,"diatom",15.6
862,"diatom",15.35
863,"diatom",15.25
864,"diatom",15.15
865,"diatom",15
866,"diatom",14.9
867,"diatom",14.8
868,"diatom",14.95
869,"diatom",14.85
870,"diatom",15
871,"diatom",14.9
872,"diatom",14.75
873,"diatom",14.55
874,"diatom",14.1
875,"diatom",14.1
876,"diatom",14.15
877,"diatom",14.2
878,"diatom",14
879,"diatom",13.9
880,"diatom",13.75
881,"diatom",13.75
882,"diatom",13.35
883,"diatom",13.45
884,"diatom",13.45
885,"diatom",13.2
886,"diatom",13
887,"diatom",12.85
888,"diatom",12.85
889,"diatom",12.85
890,"diatom",12.5
891,"diatom",12.65
892,"diatom",12.6
893,"diatom",12.35
894,"diatom",12.35
895,"diatom",12.25
896,"diatom",12.3
897,"diatom",12.05
898,"diatom",12
899,"diatom",12.3
900,"diatom",12.1
1,"cyano",2.4
2,"cyano",3.4
3,"cyano",3.75
4,"cyano",4.15
5,"cyano",4.65
6,"cyano",4.7
7,"cyano",4.75
8,"cyano",5
9,"cyano",5.1
10,"cyano",5.25
11,"cyano",5.3
12,"cyano",5.35
13,"cyano",5.2
14,"cyano",5.25
15,"cyano",5.3
16,"cyano",5.35
17,"cyano",5.4
18,"cyano",5.3
19,"cyano",5.25
20,"cyano",5.3
21,"cyano",5.3
22,"cyano",5.4
23,"cyano",5.5
24,"cyano",5.35
25,"cyano",5.3
26,"cyano",5.35
27,"cyano",5.4
28,"cyano",5.3
29,"cyano",5.25
30,"cyano",5.1
31,"cyano",5.05
32,"cyano",5.2
33,"cyano",5.1
34,"cyano",5.15
35,"cyano",5.1
36,"cyano",5.1
37,"cyano",5.1
38,"cyano",5.05
39,"cyano",5
40,"cyano",5.1
41,"cyano",5.1
42,"cyano",4.95
43,"cyano",4.95
44,"cyano",5.05
45,"cyano",4.85
46,"cyano",4.8
47,"cyano",4.8
48,"cyano",4.85
49,"cyano",4.8
50,"cyano",4.85
51,"cyano",4.7
52,"cyano",4.7
53,"cyano",4.6
54,"cyano",4.55
55,"cyano",4.55
56,"cyano",4.65
57,"cyano",4.6
58,"cyano",4.5
59,"cyano",4.5
60,"cyano",4.5
61,"cyano",4.45
